row_id,group_id,source_id,temperature,response
row-000,family-00,synthetic-fixture,280.0,0.0
row-001,family-00,synthetic-fixture,281.7,0.04
row-002,family-00,synthetic-fixture,283.4,0.106
row-003,family-01,synthetic-fixture,285.1,0.192
row-004,family-01,synthetic-fixture,286.8,0.31
row-005,family-01,synthetic-fixture,288.5,0.454
row-006,family-02,synthetic-fixture,290.2,0.618
row-007,family-02,synthetic-fixture,291.9,0.177
row-008,family-02,synthetic-fixture,293.6,0.217
row-009,family-03,synthetic-fixture,295.3,0.277
row-010,family-03,synthetic-fixture,297.0,0.369
row-011,family-03,synthetic-fixture,298.7,0.487
row-012,family-04,synthetic-fixture,300.4,0.625
row-013,family-04,synthetic-fixture,302.1,0.795
row-014,family-04,synthetic-fixture,303.8,0.354
row-015,family-05,synthetic-fixture,305.5,0.388
row-016,family-05,synthetic-fixture,307.2,0.454
row-017,family-05,synthetic-fixture,308.9,0.546
row-018,family-06,synthetic-fixture,310.6,0.658
row-019,family-06,synthetic-fixture,312.3,0.802
row-020,family-06,synthetic-fixture,314.0,0.972
row-021,family-07,synthetic-fixture,315.7,0.525
row-022,family-07,synthetic-fixture,317.4,0.565
row-023,family-07,synthetic-fixture,319.1,0.631
row-024,family-08,synthetic-fixture,320.8,0.717
row-025,family-08,synthetic-fixture,322.5,0.835
row-026,family-08,synthetic-fixture,324.2,0.979
row-027,family-09,synthetic-fixture,325.9,1.143
row-028,family-09,synthetic-fixture,327.6,0.702
row-029,family-09,synthetic-fixture,329.3,0.742
row-030,family-10,synthetic-fixture,331.0,0.802
row-031,family-10,synthetic-fixture,332.7,0.894
row-032,family-10,synthetic-fixture,334.4,1.012
row-033,family-11,synthetic-fixture,336.1,1.15
row-034,family-11,synthetic-fixture,337.8,1.32
row-035,family-11,synthetic-fixture,339.5,0.879
row-036,family-12,synthetic-fixture,341.2,0.913
row-037,family-12,synthetic-fixture,342.9,0.979
row-038,family-12,synthetic-fixture,344.6,1.071
row-039,family-13,synthetic-fixture,346.3,1.183
row-040,family-13,synthetic-fixture,348.0,1.327
row-041,family-13,synthetic-fixture,349.7,1.497
row-042,family-14,synthetic-fixture,351.4,1.05
row-043,family-14,synthetic-fixture,353.1,1.09
row-044,family-14,synthetic-fixture,354.8,1.156
row-045,family-15,synthetic-fixture,356.5,1.242
row-046,family-15,synthetic-fixture,358.2,1.36
row-047,family-15,synthetic-fixture,359.9,1.504
row-048,family-16,synthetic-fixture,361.6,1.668
row-049,family-16,synthetic-fixture,363.3,1.227
row-050,family-16,synthetic-fixture,365.0,1.267
row-051,family-17,synthetic-fixture,366.7,1.327
row-052,family-17,synthetic-fixture,368.4,1.419
row-053,family-17,synthetic-fixture,370.1,1.537
row-054,family-18,synthetic-fixture,371.8,1.675
row-055,family-18,synthetic-fixture,373.5,1.845
row-056,family-18,synthetic-fixture,375.2,1.404
row-057,family-19,synthetic-fixture,376.9,1.438
row-058,family-19,synthetic-fixture,378.6,1.504
row-059,family-19,synthetic-fixture,380.3,1.596
